Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,Converted Cost
0.325853711,0.010243515,0.014550402,0.023668639,0.163612565,0.16460177
0.325853711,0.007471377,0.411733314,0.00295858,0.163612565,0.292035398
0.325853711,0.04658017,0.04017742,0.050295858,0.163612565,0.247787611
0.325853711,0.030658409,0.04017742,0.038461538,0.163612565,0.181415929
0.43681838,0.02135268,0.076259031,0.00887574,0.163612565,0.147787611
0.504346942,0.050382844,0.076259031,0.00887574,0.183246073,0.181415929
0.504346942,0.031050012,0.076259031,0.044378698,0.183246073,0.115044248
0.531736117,0.018147717,0.04017742,0.00295858,0,0.137168142
0.330531152,0.018168328,0.04017742,0.014792899,0.143979058,0.380530973
0.330531152,0.007090079,0.015269808,0.00591716,0.143979058,0.380530973
0.330531152,0.003514123,0.015269808,0.00591716,0.143979058,0.380530973
0.253822517,0.003060688,0.001201205,0.00591716,0.143979058,0.380530973
0.330531152,0.003204963,0,0.00591716,0.143979058,0.380530973
0.330531152,0.002947329,0.001201205,0.00887574,0.143979058,0.380530973
0.786474639,0.010655729,0.011861716,0.029585799,0.157068063,0.017035398
0.939754397,0.006389315,0.011861716,0.020710059,0.157068063,0.303539823
0.421535598,0.011129775,0.074467109,0.00295858,0.173429319,0.35840708
0.238954263,0.127477148,1,0.00295858,0.173429319,0.115044248
0.269960578,0.080258046,0.279536778,0.00591716,0.173429319,0.115044248
0.684685574,0.271772623,0.279536778,0.00887574,0.755890052,0.247787611
0.684685574,0.486834919,0.279536778,0.00295858,0.755890052,0.247787611
0.532111349,0.028236652,0.165721462,0.026627219,0.74934555,0.314159292
0.532111349,0.148747385,0.109507378,0,0.74934555,0.314159292
0.1474504,0.008100003,0.019702889,0.059171598,0.732984293,0.192035398
0.324532373,0.011902676,0.071126127,0.00295858,0.742801047,0.314159292
0.155328224,0.004080918,0.068424913,0.01183432,0.732984293,0.347787611
0.147136424,0.032657646,0.699454269,0,0.157068063,0.225663717
0.147136424,0.02015726,0.257661817,0.014792899,0.157068063,0.247787611
0.340160619,0.023382833,0.257661817,0,0,0.154867257
0.323863581,0.012345806,0.074467109,0.00887574,0,0.225663717
0.277003958,0.005369086,0.074467109,0.00591716,0,0.225663717
0.277003958,0.003328627,0.260175721,0.00295858,0,0.225663717
0.329414361,0.009604584,0.074467109,0.00887574,0,0.225663717
0.277003958,0.015076723,0.260175721,0.00591716,0,0.225663717
0.202648732,0.048538186,0.22383736,0.00295858,0.157068063,0.418584071
0.234610502,0.106443934,0.22383736,0.01183432,0.157068063,0.412389381
0.202648732,0.04077826,0.260175721,0.01183432,0.157068063,0.412389381
0.202648732,0.023238558,0.260175721,0.00295858,0.157068063,0.225663717
0.193128624,0.016911075,0.023546201,0.00887574,0.157068063,0.259292035
0.214854228,0.012531302,0.026141762,0.014792899,0.157068063,0.412389381
0.193128624,0.003802673,0.026141762,0.00591716,0.157068063,0.259292035
0,0.157156549,0.22383736,0,0.157068063,0.026548673
0,0.027206117,0.041649909,0.00295858,0.183246073,0.247787611
0.366584801,0.000432825,0.043412173,0.00887574,0.183246073,0.215044248
0.31546407,0.002761833,0.054975059,0.00591716,0.183246073,0.215044248
0.437343626,0.00073168,0.010374308,0,0.183246073,0.236283186
0.441277638,0.000566794,0.010374308,0.00295858,0.183246073,0.247787611
0.464766336,0.037872152,0.001316764,0,0.176701571,0.215044248
0.327536156,0.016756495,0.127178904,0.014792899,0.189790576,0.236283186
0.334064183,0.002844276,0.037423666,0,0.183246073,0.215044248
0.3886986,0.023908406,0.032955551,0.00887574,0.202879581,0.247787611
0.354522473,0.070117584,0.032955551,0.023668639,0.222513089,0.247787611
0.351982466,0.003596566,0.032955551,0.00295858,0.209424084,0.247787611
0.3886986,0.012356112,0.032955551,0.00295858,0.183246073,0.247787611
0.413236889,0.012283974,0.032955551,0.00295858,0.209424084,0.247787611
0.429718918,0.00075229,0.086320859,0.00295858,0.209424084,0.247787611
0.429718918,0.002761833,0.086320859,0.00887574,0.183246073,0.247787611
0.453532476,0.001782825,0.086320859,0.00591716,0.183246073,0.247787611
0.354522473,0.001937405,0.086320859,0.00295858,0.183246073,0.247787611
0.399422096,0.004431299,0.086320859,0.00295858,0.183246073,0.247787611
0.350084668,0.003184352,0.034051995,0.01183432,0.209424084,0.247787611
0.429906788,0.005513361,0.086320859,0.00887574,0.202879581,0.247787611
0.354522473,0.088935148,0.032955551,0.023668639,0.222513089,0.247787611
0.398059746,0.015540464,0.032955551,0.023668639,0.222513089,0.247787611
0.354522473,0.032482455,0.032955551,0.00295858,0.222513089,0.247787611
0.354522473,0.069581706,0.032955551,0.01183432,0.222513089,0.247787611
0.354522473,0.073745066,0.032955551,0.112426036,0.222513089,0.192477876
0.373578507,0.006966415,0.032955551,0.162721893,0.222513089,0.247787611
0.412998327,0.002267176,0.020494171,0.00295858,0.209424084,0.247787611
0.413236889,0.007801148,0.032955551,0.00295858,0.183246073,0.247787611
0.649851164,0.004596185,0.036652804,0.00295858,0.209424084,0.247787611
0.428792579,0.008574049,0.053145765,0.00295858,0.183246073,0.27079646
0.44710711,0.00312252,0.053145765,0.00295858,0.209424084,0.247787611
0.354522473,0.000906871,0.031293779,0.00295858,0.183246073,0.247787611
0.354522473,0.009233591,0.032655509,0.00591716,0.209424084,0.247787611
0.488533354,0.00489504,0.023915819,0.00295858,0.209424084,0.247787611
0.449443736,0.003009161,0.034051995,0.00295858,0.209424084,0.247787611
0.350405772,0.002916413,0.034051995,0.01183432,0.209424084,0.247787611
0.354522473,0.011861455,0.028953205,0.00887574,0.183246073,0.247787611
0.354522473,0.013592753,0.028953205,0,0.209424084,0.247787611
0.40798639,0.001906489,0.018807571,0.00295858,0.183246073,0.247787611
0.455007295,0.001865268,0.0084111,0.00591716,0.209424084,0.247787611
0.519691904,0.006677865,0.26443051,0.01183432,0.235602094,0.247787611
0.516828323,0.004214887,0.023542278,0.00295858,0.235602094,0.247787611
0.257438682,0.045364139,0.136496926,0.032544379,0.183246073,0.247787611
0.500543262,0.003112215,0.038305638,0.00887574,0.183246073,0.247787611
0.283645862,0.021177489,0.017043291,0.044378698,0.170157068,0.247787611
0.485437436,0.00075229,0.030631879,0.026627219,0.196335079,0.247787611
0.516204836,0.003967559,0.01193972,0.00295858,0.261780105,0
0.358999385,0.002287787,0.033119867,0,0.255235602,0.14159292
0.322175887,0.003070994,0.010567828,0,0.255235602,0.128318584
0.423117741,0.005678246,0.04812402,0.014792899,0.189790576,0.181415929
0.43332147,0.017436648,0.051134233,0.014792899,0.196335079,0.115044248
0.41488939,0.010655729,0.051134233,0.00591716,0.202879581,0.424778761
0.521511911,0.006543896,0.051134233,0.00887574,0.189790576,0.181415929
0.530485883,0.027937797,0.051134233,0.00295858,0.196335079,0.048672566
0.339605651,0.004668322,0.051134233,0.00887574,0.189790576,0.247787611
0.640740609,0.030761462,0.051134233,0.00295858,0.196335079,0.048672566
0.640740609,0.071003844,0.051134233,0.053254438,0.196335079,0.12979351
0.640740609,0.086534002,0.051134233,0.115384615,0.196335079,0.353982301
0.640740609,0.046178262,0.051134233,0.014792899,0.196335079,0.048672566
0.640740609,0.01140802,0.051134233,0.00887574,0.196335079,0.048672566
0.409190434,0.003163742,0.04812402,0.00591716,0.189790576,0.446902655
0.488350996,0.028813751,0.195415612,0.017751479,0.209424084,0.181415929
0.318760362,0.003225574,0.195415612,0.014792899,0.183246073,0.181415929
0.267545002,0.007615652,0.046709405,0.00887574,0.176701571,0.336283186
0.33150453,0.002432062,0.028744531,0.00295858,0.189790576,0.181415929
0.64406545,0.003235879,0.014068157,0.00295858,0.189790576,0.115044248
0.64406545,0.006409926,0.014068157,0.017751479,0.189790576,0.115044248
0.225829706,0.002957635,0.060086087,0.00887574,0.179319372,0.137168142
0.468705623,0.018889702,0.032368754,0.01183432,0.57591623,0.022123894
0.174184373,0.007316797,0.005822385,0.00295858,0.157068063,0.413274336
0.174184373,0.022445047,0.005822385,0.00591716,0.157068063,0.513274336
0.174184373,0.020528252,0.305164816,0.00887574,0.157068063,0.247787611
0.174184373,0.002864887,0.305164816,0.00295858,0.157068063,0.380530973
0.174184373,0,0.005822385,0.00295858,0.157068063,0.579646018
0.382936198,0.002493894,0.005132543,0.00591716,0.157068063,0.275663717
0.216611866,0.003112215,0.002939246,0.00295858,0.157068063,0.314159292
0.382936198,0.001999237,0.021137573,0.00295858,0.157068063,0.247787611
0.382936198,0.003369849,0.005132543,0.00591716,0.157068063,0.247787611
0.19539812,0.001896184,0.03504981,0.00295858,0.157068063,0.380530973
0.382325399,0.005966796,0.066676016,0.00887574,0.157068063,0.247787611
0.216611866,0.0038542,0.045573255,0.029585799,0.157068063,0.181415929
0.237844601,0.053196204,0.015456451,0.00295858,0.157068063,0.380530973
0.440955702,0.003132826,0.005132543,0.00591716,0.157068063,0.181415929
0.440955702,0.004060307,0.021137573,0.00295858,0.157068063,0.247787611
0.349412649,0.010418706,0.021514574,0.01183432,0.157068063,0.314159292
0.349412649,0.003812979,0.021514574,0.00591716,0.157068063,0.247787611
0.216611866,0.018518709,0.021514574,0.00591716,0.157068063,0.34159292
0.216611866,0.009274813,0.021514574,0.00295858,0.157068063,0.247787611
0.216611866,0.011995424,0.021514574,0.00887574,0.157068063,0.247787611
0.216611866,0.004925956,0.021514574,0.00295858,0.157068063,0.247787611
0.349412649,0.003184352,0.010715875,0.00887574,0.157068063,0.314159292
0.357918076,0.003287406,0.005035272,0.00295858,0.157068063,0.194690265
0.357918076,0.010707256,0.010715875,0.00295858,0.157068063,0.247787611
0.365471251,0.001999237,0.005035272,0.00887574,0.157068063,0.181415929
0.365471251,0.013190845,0.005035272,0.00295858,0.157068063,0.275663717
0.365471251,0.015488937,0.005035272,0.00295858,0.157068063,0.303539823
0.634724989,0.001236642,0.003684804,0,0.157068063,0.459292035
0.389049555,0.019301916,0.014104081,0.029585799,0.157068063,0.303539823
0.48793612,0.006327483,0.05042911,0.00591716,0.143979058,0.092920354
0.48793612,0.063398497,0.05042911,0.014792899,0.143979058,0.026548673
0.48793612,0.007430156,0.05042911,0,0.143979058,0.181415929
0.466622241,0.097931717,0.064885242,0.050295858,0.143979058,0.026548673
0.44991601,0.03278131,0.064885242,0.035502959,0.143979058,0.026548673
0.44991601,0.037016808,0.064885242,0.01183432,0.143979058,0.026548673
0.455900175,0.008543133,0.100773963,0.00591716,0.206151832,0.137168142
0.39750972,0.007852675,0.100773963,0,0.206151832,0.015929204
0.496505254,0.004369467,0.011090522,0.00295858,0.206151832,0.336283186
0.369193729,0.018261076,0.002592381,0.00887574,0.196335079,0.685840708
0.332980978,0.019621382,0.002592381,0.00591716,0.196335079,0.685840708
0.390547717,0.018683595,0.000837085,0,0.196335079,0.446902655
0.151721134,0.045333223,0.144214312,0.00591716,0.268324607,0.181415929
0.310985781,0.030112225,0.144214312,0.00295858,0.209424084,0.181415929
0.151721134,0.033399631,0.144214312,0,0.235602094,0.181415929
0.151721134,0.029596958,0.144214312,0.00295858,0.261780105,0.181415929
0.151721134,0.632593753,0.144214312,0.00591716,0.268324607,0.181415929
0.24544847,0.005843132,0.021571104,0.00295858,0.205497382,0.247787611
0.377252396,0.003359543,0.02316261,0.00887574,0.284031414,0.192035398
0.329431648,0.001267558,0.007337178,0.00591716,0.23658377,0.192035398
0.339641255,0.003534734,0.007337178,0.00591716,0.27421466,0.192035398
0.360692051,0.004534353,0.004258202,0.00591716,0.251308901,0.192035398
0.240630925,0.004812597,0.014287184,0.00591716,0.248036649,0.192035398
0.240630925,0.000360687,0.010203324,0.00591716,0.261125654,0.247787611
0.342604927,0.004029391,0.076471042,0.020710059,0.251308901,0.236283186
0.298571763,0.007924812,0.003117577,0.017751479,0.267015707,0.23539823
0.361625048,0.020270618,0.018410583,0.00591716,0.238219895,0.192035398
0.325044168,0.003730536,0.009227279,0.00591716,0.234947644,0.192035398
0.344745135,0.001958016,0.008639508,0.00591716,0.248036649,0.192035398
0.373140467,0.01720993,0.076471042,0.00887574,0.269633508,0.096460177
0.505321854,0.01570535,0.076471042,0.00295858,0.269633508,0.108849558
0.505321854,0.001545802,0.014605938,0.00591716,0.20026178,0.144690265
0.380730211,0.002854581,0.003356535,0.00591716,0.248691099,0.094690265
0.373140467,0.001937405,0.011846799,0.00591716,0.22513089,0.107079646
0.348045166,0.009604584,0.030577114,0.00295858,0.183246073,0.092920354
0.266462513,0.010552676,0.030577114,0.00295858,0.196335079,0.092920354
0.334383382,0.022403825,0.038363014,0.00295858,0.189790576,0.048672566
0.334383382,0.020497336,0.038363014,0.00591716,0.189790576,0.048672566
0.221795564,0.004925956,0.005011043,0.01183432,0.183246073,0.008849558
0.298642689,0.004204582,0.004716527,0.00295858,0.143979058,0.269911504
0.392628094,0.010439317,0.001776467,0.017751479,0.183246073,0.14159292
0.307774705,0.013860692,0.011080128,0.017751479,0.22578534,0.192035398
0.193380225,0.01202634,0.009489453,0.00295858,0.22578534,0.192035398
0.193380225,0.006935499,0.009610023,0.00295858,0.248691099,0.253097345
0.337148456,0.004637406,0.010195748,0.014792899,0.215968586,0.181415929
0.280756865,0.005358781,0.099707708,0.00295858,0.215968586,0.261061947
0.334548513,0.154260746,0.099707708,0.088757396,0.215968586,0.194690265
0.334548513,0.072343539,0.099707708,0.059171598,0.215968586,0.194690265
0.334548513,0.080113771,0.099707708,0.076923077,0.215968586,0.194690265
0.285861061,0.023527108,0.099707708,0.00295858,0.215968586,0.296460177
0.374938823,0.062604986,0.010851999,0.00887574,0.91132199,1
0.413693543,0.042035512,0.010851999,0.026627219,0.935863874,0.303539823
0.413693543,0.034718716,0.010851999,0.01183432,0.916230366,0.192035398
0.411069332,0.002225955,0.106977127,0.00295858,0.939790576,0.413274336
0.477970204,0.02669085,0.041534689,0.00295858,1,0.469026549
0.44546621,0.01853932,0.041534689,0.020710059,0.934554974,0.413274336
0.494599019,0.002102291,0.003994898,0.00295858,0.903141361,0.247787611
0.446945072,0.005420613,0.001234054,0.014792899,0.913612565,0.247787611
0.433949259,0.019569855,0.106977127,0.020710059,0.933246073,0.424778761
0.374938823,0.063233612,0.007447233,0.017751479,0.952879581,0.469026549
0.591741034,0.008769851,0.002827738,0.00295858,0.930104712,0.247787611
0.428215083,0.017704587,0.008095984,0.00887574,0.929842932,0.324778761
0.371425926,0.100363779,0.001867425,0.026627219,0.952879581,0.082300885
0.442527961,0.045415666,0.007447233,0.00887574,0.926701571,0.07079646
0.371425926,0.02551604,0.001867425,0.017751479,0.939790576,0.038053097
0.389524396,0.067458804,0.001867425,0.00591716,0.952879581,0.746017699
0.389524396,0.01690077,0.001867425,0.014792899,0.926701571,0.163126844
0.371425926,0.130826386,0.106977127,0.00295858,0.926701571,0.413274336
0.362444839,0.016735884,0.001501604,0.00887574,0.920157068,0.303539823
0.201822211,0.026762987,0.000192405,0,0.157068063,0.126548673
0.317992452,0.010130157,0.004183337,0.00295858,0.157068063,0.192035398
0.459222838,0.00281336,0.001484733,0,0.157068063,0.457522124
0.290601617,0.03632635,0.093627466,0.174556213,0.189790576,0.347787611
0.254448164,0.045992766,0.02171173,0.100591716,0.189790576,0.247787611
0.254448164,0.035811082,0.02171173,0.014792899,0.189790576,0.269911504
0.263009681,0.049022538,0.02171173,0.068047337,0.195026178,0.247787611
0.254448164,0.021115657,0.000398515,0.00295858,0.231675393,0.296460177
0.384374926,0.007316797,0.000205839,0.026627219,0.214659686,0.380530973
0.531730419,0.029432072,0.00267783,0.044378698,0.217604712,0.247787611
0.467966935,0.030349248,0.00267783,0.044378698,0.217604712,0.247787611
0.047764898,0.049321393,0.00682156,0.041420118,0.219240838,0.347787611
0.952774802,0.257108113,0.192576125,0.014792899,0.595549738,0.280530973
0.471922159,0.18568175,0.192576125,0.00887574,0.595549738,0.247787611
0.632206374,0.269299339,0.192576125,0.020710059,0.595549738,0.566371681
0.471922159,0.413213516,0.192576125,0.056213018,0.595549738,0.566371681
0.471922159,0.316281418,0.192576125,0.017751479,0.595549738,0.566371681
0.471922159,0.407463133,0.192576125,0.085798817,0.595549738,0.566371681
0.620599855,0.208683286,0.192576125,0.00887574,0.556282723,0.192035398
0.620599855,0.217679854,0.192576125,0.00887574,0.57591623,0.192035398
0.471922159,0.163061513,0.192576125,0.023668639,0.595549738,0.230973451
0.471922159,0.171326401,0.192576125,0.014792899,0.595549738,0.436283186
0.471922159,0.15735235,0.192576125,0.00591716,0.602094241,0.092920354
0.620599855,0.209136721,0.192576125,0.00295858,0.556282723,0.280530973
0.471922159,0.150870287,0.192576125,0.041420118,0.595549738,0.247787611
0.471922159,0.632604058,0.192576125,0.00887574,0.556282723,0.436283186
0.632206374,0.260869565,0.192576125,0.281065089,0.595549738,0.181415929
0.471922159,0.867936972,0.192576125,0.103550296,0.595549738,0.207964602
0.471922159,0.179179076,0.192576125,0.01183432,0.595549738,0.247787611
0.632206374,0.101280955,0.444571234,0.041420118,0.57591623,0.147787611
0.632206374,0.088543545,0.192576125,0.014792899,0.57591623,0.407964602
0.612737985,0.133134784,0.192576125,0.017751479,0.595549738,0.247787611
0.471922159,0.116543174,0.192576125,0.032544379,0.530104712,0.303539823
0.471922159,0.160784031,0.192576125,0.00295858,0.595549738,0.436283186
0.471922159,0.124694704,0.192576125,0.017751479,0.595549738,0.35840708
0.471922159,0.101177901,0.192576125,0.029585799,0.530104712,0.579646018
0.471922159,0.095015303,0.192576125,0.00591716,0.595549738,0.524778761
0.471922159,0.084122551,0.192576125,0,0.595549738,0.436283186
0.632206374,0.282150108,0.192576125,0.00887574,0.595549738,0.438053097
0.903630213,0.105537063,0.043570513,0.044378698,0.556282723,0.407079646
0.903630213,0.085575605,0.043570513,0.065088757,0.556282723,0.407079646
0.903630213,0.044683987,0.043570513,0.038461538,0.543193717,0.39380531
0.903630213,0.492234921,0.043570513,0.24556213,0.530104712,0.303539823
0.903630213,0.130517225,0.043570513,0.071005917,0.543193717,0.39380531
0.487907139,0.032647341,0.000582465,0.038461538,0.556282723,0.353982301
0.471922159,0.02031184,0.006565062,0.014792899,0.530104712,0.371386431
0.487907139,0.080907283,0.000582465,0,0.556282723,0.247787611
0.598220057,0.088502324,0.006565062,0.082840237,0.569371728,0.247787611
0.651374702,0.033440852,0.006565062,0.00591716,0.530104712,0.192035398
0.471922159,0.036027495,0.006565062,0.103550296,0.556282723,0.297787611
0.471922159,0.01054237,0.006565062,0.017751479,0.556282723,0.247787611
0.471922159,0.027340087,0.006565062,0.044378698,0.556282723,0.280530973
0.598220057,0.046137041,0.006565062,0.00591716,0.556282723,0.236283186
0.598220057,0.035584365,0.006565062,0.00295858,0.556282723,0.236283186
0.611968285,0.034564135,0.006565062,0.014792899,0.556282723,0.215044248
0.687776186,0.049651164,0.006565062,0.053254438,0.556282723,0.181415929
0.471922159,0.520554015,0.192576125,0.044378698,0.530104712,0.369026549
0.471922159,0.476364686,0.192576125,0.038461538,0.530104712,0.303539823
0.471922159,0.55582922,0.192576125,0.621301775,0.530104712,0.306342183
0.471922159,0.529653637,0.192576125,0.017751479,0.530104712,0.369026549
0.471922159,0.289487515,0.192576125,0.23964497,0.569371728,0.186946903
0.471922159,0.3031421,0.192576125,0.029585799,0.556282723,0.247787611
0.471922159,0.639364366,0.192576125,0.047337278,0.530104712,0.247787611
0.471922159,1,0.192576125,0.023668639,0.530104712,0.369026549
0.471922159,0.780434267,0.192576125,0.130177515,0.530104712,0.369026549
0.903630213,0.426301308,0.444440082,0.020710059,0.530104712,0.192035398
0.903630213,0.25330544,0.444440082,0.01183432,0.530104712,0.137168142
0.471922159,0.189886332,0.192576125,0.035502959,0.569371728,0.192035398
0.471922159,0.184074116,0.192576125,0.01183432,0.569371728,0.192035398
0.471922159,0.38248297,0.192576125,0.00591716,0.530104712,0.369026549
0.620599855,0.178715335,0.192576125,0.01183432,0.530104712,0.436283186
0.620599855,0.177478694,0.192576125,0.017751479,0.556282723,0.436283186
0.620599855,0.196224121,0.192576125,0.091715976,0.556282723,0.269911504
0.620599855,0.163525253,0.192576125,0.00591716,0.556282723,0.303539823
0.471922159,0.209724126,0.192576125,0.00295858,0.556282723,0.292035398
0.545808636,0.035172151,0.192576125,0.00295858,0.556282723,0.137168142
0.620599855,0.224069169,0.192576125,0.133136095,0.569371728,0.192035398
0.545808636,0.080268351,0.192576125,0.020710059,0.556282723,0.407964602
0.469556832,0.077578656,0.192576125,0.00591716,0.556282723,0.172566372
0.469556832,0.094396983,0.192576125,0.020710059,0.556282723,0.172566372
1,0.017014129,0.065558832,0.014792899,0.562172775,0.463716814
0.73596108,0.020074817,0.065558832,0.00591716,0.517015707,0.463716814
0.73596108,0.013510311,0.011890667,0.00591716,0.543193717,0.463716814
1,0.032564898,0.008167811,0.00887574,0.556282723,0.269911504
0.471922159,0.003070994,0.002706394,0.017751479,0.517015707,0.407964602
0.73596108,0.004709544,0.002706394,0.00887574,0.517015707,0.407964602
1,0.013262982,0.002835379,0.00295858,0.556282723,0.463716814
1,0.02611375,0.0332769,0.00887574,0.556282723,0.463716814
1,0.005358781,0.002835379,0.00591716,0.530104712,0.463716814
1,0.010346569,0.002835379,0.00591716,0.545811518,0.324778761
1,0.037439327,0.002835379,0.038461538,0.545811518,0.463716814
1,0.034430166,0.008167811,0.014792899,0.556282723,0.496755162
1,0.134062265,0.245156663,0.029585799,0.569371728,0.488495575
1,0.19190618,0.245156663,0.035502959,0.569371728,0.35840708
1,0.240227954,0.245156663,0.00887574,0.569371728,0.469026549
0.892552619,0.234364212,0.160712274,0.056213018,0.585732984,0.137168142
0.92503462,0.850809485,0.245156663,1,0.585732984,0.369026549
0.92503462,0.911136989,0.245156663,0.062130178,0.566099476,0.137168142
1,0.353761967,0.160712274,0.360946746,0.585732984,0.137168142
1,0.53122005,0.160712274,0.091715976,0.585732984,0.53539823
1,0.193513814,0.160712274,0.01183432,0.556282723,0.613274336
1,0.176798541,0.160712274,0.053254438,0.608638743,0.225663717
1,0.257695518,0.160712274,0.056213018,0.595549738,0.192035398
1,0.168739759,0.160712274,0.047337278,0.556282723,0.181415929
1,0.123550811,0.111755519,0.044378698,0.57591623,0.137168142
1,0.47115018,0.245156663,0.100591716,0.572643979,0.192035398
1,0.112802333,0.245156663,0.056213018,0.566099476,0.562831858
1,0.074497357,0.0332769,0.020710059,0.569371728,0.496755162
1,0.205849315,0.245156663,0.041420118,0.582460733,0.159292035
0.92503462,0.382740604,0.245156663,0.00887574,0.572643979,0.303539823
1,0.425878789,0.245156663,0.00887574,0.572643979,0.137610619
0.886873537,0.061048878,0.016492777,0.020710059,0.562827225,0.390560472
0.885410544,0.026762987,0.016492777,0.00591716,0.543193717,0.463716814
1,0.073930563,0.004365897,0.026627219,0.569371728,0.463716814
1,0.073178272,0.160712274,0.00295858,0.54973822,0.469026549
1,0.029761843,0.004365897,0.029585799,0.559554974,0.353982301
1,0.043983223,0.001061327,0.035502959,0.54973822,0.463716814
1,0.023248864,0.007034149,0.044378698,0.517015707,0.292035398
0.89217626,0.073003081,0.007034149,0.118343195,0.530104712,0.353982301
1,0.055607655,0.160712274,0.00591716,0.539921466,0.463716814
0.89217626,0.053082845,0.025875904,0.020710059,0.556282723,0.546017699
1,0.007296186,0.007034149,0.00591716,0.517015707,0.463716814
0.893236786,0.045188949,0.041246692,0.00591716,0.523560209,0.463716814
0.676528781,0.033090471,0.007034149,0.01183432,0.556282723,0.303539823
0.871427195,0.007790843,0.000609859,0.00295858,0.517015707,0.463716814
0.614281586,0.002823665,0.011253858,0.00887574,0.530104712,0.192035398
0.893236786,0.060605748,0.041246692,0.020710059,0.556282723,0.353982301
0.893236786,0.049908798,0.041246692,0.017751479,0.543193717,0.82920354
0.138312917,0.186392819,0.147408971,0.00591716,0,0.269911504
0.202582735,0.01007863,0.005453912,0.01183432,0,0.254424779
0.16887884,0.013469089,0.012858041,0.00887574,0,0.154867257
0.119297044,0.004534353,0.003341573,0.014792899,0,0.287610619
0.163192906,0.004915651,0.000617488,0.017751479,0,0.154867257
0.166355822,0.012737409,0.003594935,0.00295858,0,0.480530973
0.349571508,0.074610716,0.00211321,0.00887574,0.277486911,0.210914454
0.394940711,0.391716562,0.00211321,0.017751479,0.268324607,0.303539823
0.229079813,0.117584014,0.00211321,0.00591716,0.268324607,0.453982301
0.229079813,0.13792677,0.00211321,0.01183432,0.268324607,0.303539823
0.394940711,0.47101621,0.00211321,0.150887574,0.268324607,0.303539823
0.394940711,0.282263467,0.00211321,0.00591716,0.268324607,0.303539823
0.394940711,0.14787143,0.00211321,0.020710059,0.269633508,0.453982301
0.146149364,0.043849253,0.013109917,0.041420118,0.264397906,0.225663717
0.304202305,0.048682461,0.00211321,0.00591716,0.27486911,0.292035398
