,Unnamed: 0,Converted Cost,Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,ZIP,Population,Number of Evs,EV density
0,0,1.0,0.0796154995,102900.0,85.27706923,7.0,0.07,33034.0,2496420.0,50952.0,0.020410027158891533
1,1,10.8,0.097173014,1088100.0,44.98349289,46.0,0.07,33701.0,916542.0,17943.0,0.019576844269002403
2,2,3.18,0.1068445225,150500.0,11.99824386,7.0,0.07,32320.0,2126479.0,101.0,4.749635430211161e-05
3,3,2.88,0.081570418,286200.0,16.54254265,4.0,0.065,34997.0,223044.0,3528.0,0.01581750685963308
4,4,1.56,0.081570418,319700.0,69.760134115,12.0,0.07,33407.0,1326040.0,38490.0,0.029026273717233268
5,5,10.8,0.106412293,499200.0,7.126197882,3.0,0.07,32413.0,274805.0,1467.0,0.0053383308163970815
6,6,2.0,0.084777407,94800.0,69.16602715,15.0,0.075,33619.0,1650216.0,23760.0,0.014398115155834145
7,7,3.0,0.0859268805,76300.0,69.16602715,3.0,0.07,33805.0,1385755.0,5410.0,0.00390400900592096
8,8,2.88,0.081570418,71600.0,15.66438974,1.0,0.07,32905.0,543922.0,10079.0,0.01853023043745243
9,9,1.82,0.0905584675,108500.0,1.539400712,8.0,0.065,32805.0,4857416.0,29309.0,0.00603386656609193
10,10,3.18,0.1179530715,93700.0,15.76514957,5.0,0.07,32778.0,1909707.0,4835.0,0.002531801998945388
11,11,3.0,0.112583118,70200.0,15.76514957,1.0,0.07,34748.0,1909707.0,4835.0,0.002531801998945388
12,12,3.18,0.0995680754999999,55600.0,15.66438974,10.0,0.075,33870.0,100149.0,640.0,0.006390478187500624
13,13,3.18,0.1068945166666666,129200.0,69.16602715,3.0,0.07,34714.0,1909707.0,4835.0,0.002531801998945388
14,14,7.5,0.11647913525,20000.0,15.66438974,14.0,0.075,34972.0,43841.0,139.0,0.0031705481170593735
