,Converted Cost,Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,ZIP
0,0.4,1.0,0.0,0.0,0.2549019607843137,0.0,95603.0
1,0.6,1.0,0.07637175420044648,0.6453741920851913,0.3333333333333333,0.857142857142857,94568.0
2,0.5866666666666667,1.0,0.14590529902479143,1.0,0.6274509803921569,0.6071428571428569,95008.0
3,0.0,1.0,0.014445171794484448,0.43977937639447956,0.0392156862745098,0.6428571428571426,94931.0
4,0.2,1.0,0.03753126206421941,1.0,0.058823529411764705,0.5714285714285711,93901.0
5,0.24800000000000005,1.0,0.016694361918189904,0.11020693101427675,0.09803921568627451,0.5714285714285711,95023.0
6,0.22666666666666668,1.0,0.0824244255333434,0.6453741920851913,1.0,1.0,94588.0
7,0.4080000000000001,0.8580410416687283,0.27524715913859377,1.0,0.0784313725490196,0.7499999999999998,94303.0
8,0.986,0.0,0.21108817160984944,0.7791870398853258,0.058823529411764705,0.6428571428571426,90277.0
9,1.0,0.8774211640957653,0.14255165584034107,1.0,0.6470588235294118,0.6071428571428569,95050.0
10,0.2,1.0,0.1981301508971583,0.6453741920851913,0.23529411764705882,0.6785714285714283,94402.0
11,0.2,1.0,0.02194471020695906,0.43977937639447956,0.17647058823529413,0.6428571428571426,94952.0
12,0.2,1.0,0.04739412860667707,0.6453741920851913,0.27450980392156865,0.4285714285714281,94596.0
13,0.6,0.0,0.09696359333299763,0.2161129098210724,0.3333333333333333,0.4285714285714281,93101.0
14,0.26293333333333335,1.0,0.1413062087718415,1.0,0.11764705882352941,0.5714285714285711,93950.0
15,0.5813333333333334,0.38959350604054754,1.0,0.6453741920851913,0.0,0.39285714285714235,94115.0
16,0.2,1.0,0.04739412860667707,0.6453741920851913,0.27450980392156865,0.4285714285714281,94596.0
17,0.6,0.0,0.09696359333299763,0.2161129098210724,0.3333333333333333,0.4285714285714281,93101.0
